1006 6.75353e-15 55.1486 -259.454

1000 58.4507 87.3412 -248.596
  
1001 1.47382e-14 120.35 -241.58
  
1206 -52.4494 17.0418 -259.454
  
1200 -65.0041 82.5798 -248.596
  
1201 -114.46 37.1903 -241.58
  
406 52.6471 17.1061 -260.432
  
400 101.326 -28.5357 -249.574
  
401 114.658 37.2545 -242.558
  
606 32.7821 -45.1207 -262.388
  
600 4.41688 -105.522 -251.531
  
601 71.1067 -97.87 -244.514
  
1406 -32.4155 -44.6161 -259.454
  
1400 -98.6254 -36.304 -248.596
  
1401 -70.7401 -97.3654 -241.58
   
1106 -89.4723 123.148 -243.602
   
1100 -57.7831 178.974 -222.389
  
1101 -121.892 167.77 -204.506
  
306 91.6526 126.149 -249.538
  
300 154.539 113.262 -228.325
  
301 124.073 170.771 -210.442
   
506 140.737 -45.7283 -236.817
  
500 147.914 -109.519 -215.604
  
501 193.194 -62.7726 -197.721
   
1506 -3.78009e-14 -154.339 -246.994
  
1500 -58.4507 -180.877 -225.781
   
1501 -5.13098e-14 -209.495 -207.898
   
1306 -135.193 -43.927 -227.489
   
1300 -178.495 3.46228 -206.276
  
1301 -187.65 -60.9713 -188.393
   
806 -163.377 53.0845 -204.725
   
800 -167.5 115.883 -180.025
  
801 -210.149 68.2814 -158.333
  
706 2.08795e-14 170.499 -203.193
  
700 58.4507 193.826 -178.493
  
701 2.69019e-14 219.678 -156.801
  
106 163.072 52.9852 -204.342
  
100 203.319 4.60373 -179.642
   
101 209.843 68.1821 -157.95
  
206 100.784 -138.717 -204.342
  
200 67.2075 -191.945 -179.642
  
201 129.69 -178.503 -157.95
   
906 -100.973 -138.977 -204.725

900 -161.972 -123.493 -180.025

901 -129.879 -178.763 -158.333
