1006 9.29963e-15 75.9397 -357.268
1000 58.4507 108.132 -346.411 
1001 1.72843e-14 141.141 -339.395 
1206 -72.223 23.4667 -357.268
1200 -84.7777 89.0046 -346.411 
1201 -134.233 43.6151 -339.395 
406  72.4207 23.5309 -358.247
400 121.1 -22.1109 -347.389 
401 134.431 43.6793 -340.373 
606 45.0029 -61.9412 -360.203
600 16.6376 -122.342 -349.345 
601 83.3275 -114.69 -342.329 
1406 -44.6363 -61.4365 -357.268
1400 -110.846 -53.1244 -346.411 
1401 -82.9608 -114.186 -339.395 
1106 -120.62 166.019 -328.407
1100 -88.931 221.845 -307.193 
1101 -153.04 210.642 -289.31 
306  122.8 169.02 -334.343
300  185.686 156.133 -313.13 
301  155.221 213.643 -295.247 
506  191.136 -62.1037 -321.622
500 198.312 -125.894 -300.409 
501 243.592 -79.148 -282.526 
1506 -5.07798e-14 -207.331 -331.799
1500 -58.4507 -233.869 -310.586 
1501 -6.42887e-14 -262.487 -292.703 
1306 -185.592 -60.3024 -312.294
1300 -228.893 -12.9131 -291.08 
1301 -238.049 -77.3467 -273.198 
806  -224.51 72.9477 -281.33
800 -228.633 135.746 -256.63 
801 -271.281 88.1447 -234.938
706 2.87511e-14 234.778 -279.798
700 58.4507 258.105 -255.098 
701 3.47735e-14 283.957 -233.406 
106 224.204 72.8484 -280.947
100 264.452 24.467 -256.247 
101 270.976 88.0453 -234.555 
206 138.566 -190.72 -280.947
200 104.99 -243.948 -256.247 
201 167.472 -230.506 -234.555 
906 -138.755 -190.98 -281.33
900 -199.754 -175.495 -256.63 
901 -167.661 -230.766 -234.938 
