	1	1	2212 
	1	0	2112 
	-1	-1	-2212 
	-1	0	-2112
	32	0	3122
	-32	0	-3122
	33	1	3222
	33	0	3212
	33	-1	3112
	-33	-1	-3222
	-33	0	-3212
	-33	1	-3112
	53	0	3322
	53	-1	3312
	-53	0	-3322
	-53	1	-3312
	55	-1	3334
	-55	1	-3334
	56	1	4122
	-56	-1	-4122
	57	2	4222
	57	1	4212
	57	0	4112
	-57	2	-4222
	-57	-1	-4212
	-57	0	-4112
	59	1	4232
	59	0	4132
	-59	-1	-4232
	-59	0	-4132
	61	0	4332
	-61	0	-4332
	101	1	211
	101	0	111
	101	-1	-211
	110	1	321
	110	0	311
	111	-1	-321
	111	0	-311
	114	1	411
	114	0	421
	115	-1	-411
	115	0	-421
	116	1	413
	116	0	423
 	117	-1	-413
	117	0	-423
	109	0	443
