1	1	0	1	36	0	0
1	1	1	2	35	0	0
1	1	2	3	34	0	0
1	1	3	4	33	0	0
1	1	4	5	32	169	0
1	1	5	6	31	165	0
1	1	6	7	30	161	0
1	1	7	8	29	157	0
1	1	8	9	28	153	0
1	1	9	10	27	149	0
1	1	10	11	26	145	0
1	1	11	12	25	141	0
1	1	12	0      	0    	 0	0
1	1	13	13	24	137	0
1	1	14	14	23	133	0
1	1	15	15	22	129	0
1	1	16	16	21	125	0
1	1	17	17	20	121	0
1	1	18	18	19	117	0
1	1	19	19	18	113	0
1	1	20	20	17	109	0
1	1	21	21	16	105	0
1	1	22	22	15	101	0
1	1	23	23	14	97	0
1	1	24	24	13	93	0
1	1	25	0      	0     	0	0
1	1	26	25	12	89	0
1	1	27	26	11	85	0
1	1	28	27	10	81	0
1	1	29	28	9	77	0
1	1	30	29	8	73	0
1	1	31	30	7	69	0
1	1	32	31	6	65	0
1	1	33	32	5	61	0
1	1	34	33	4	57	0
1	1	35	34	3	53	0
1	1	36	35	2	49	0
1	1	37	36	1	45	0
1	1	38	37	120	47	0
1	1	39	38	119	51	0
1	1	40	39	118	55	0
1	1	41	40	117	59	0
1	1	42	41	116	63	0
1	1	43	42	115	67	0
1	1	44	43	114	71	0
1	1	45	44	113	75	0
1	1	46	45	112	79	0
1	1	47	46	111	83	0
1	1	48	47	110	87	0
1	1	49	48	109	91	0
1	1	50	0      	0	0	0
1	1	51	49	108	95	0
1	1	52	50	107	99	0
1	1	53	51	106	103	0
1	1	54	52	105	107	0
1	1	55	53	104	111	0
1	1	56	54	103	115	0
1	1	57	55	102	119	0
1	1	58	56	101	123	0
1	1	59	57	100	127	0
1	1	60	58	99	131	0
1	1	61	59	98	135	0
1	1	62	60	97	139	0
1	1	63	0       0     	0	0
1	1	64	61	96	143	0
1	1	65	62	95	147	0
1	1	66	63	94	151	0
1	1	67	64	93	155	0
1	1	68	65	92	159	0
1	1	69	66	91	163	0
1	1	70	67	90	167	0
1	1	71	68	89	171	0
1	1	72	69	88	0	0
1	1	73	70	87	0	0
1	1	74	71	86	0	0
1	1	75	72	85	0	0
1	2	0	1	36	0	0
1	2	1	2	35	0	0
1	2	2	3	34	0	0
1	2	3	4	33	0	0
1	2	4	5	32	297	0
1	2	5	6	31	293	0
1	2	6	7	30	289	0
1	2	7	8	29	285	0
1	2	8	9	28	281	0
1	2	9	10	27	277	0
1	2	10	11	26	273	0
1	2	11	12	25	269	0
1	2	12	0       0        0	0
1	2	13	13	24	265	0
1	2	14	14	23	261	0
1	2	15	15	22	257	0
1	2	16	16	21	253	0
1	2	17	17	20	249	0
1	2	18	18	19	245	0
1	2	19	19	18	241	0
1	2	20	20	17	237	0
1	2	21	21	16	233	0
1	2	22	22	15	229	0
1	2	23	23	14	225	0
1	2	24	24	13	221	0
1	2	25	0       0        0	0
1	2	26	25	12	217	0
1	2	27	26	11	213	0
1	2	28	27	10	209	0
1	2	29	28	9	205	0
1	2	30	29	8	201	0
1	2	31	30	7	197	0
1	2	32	31	6	193	0
1	2	33	32	5	189	0
1	2	34	33	4	185	0
1	2	35	34	3	181	0
1	2	36	35	2	177	0
1	2	37	36	1	173	0
1	2	38	37	120	175	0
1	2	39	38	119	179	0
1	2	40	39	118	183	0
1	2	41	40	117	187	0
1	2	42	41	116	191	0
1	2	43	42	115	195	0
1	2	44	43	114	199	0
1	2	45	44	113	203	0
1	2	46	45	112	207	0
1	2	47	46	111	211	0
1	2	48	47	110	215	0
1	2	49	48	109	219	0
1	2	50	0        0       0	0
1	2	51	49	108	223	0
1	2	52	50	107	227	0
1	2	53	51	106	231	0
1	2	54	52	105	235	0
1	2	55	53	104	239	0
1	2	56	54	103	243	0
1	2	57	55	102	247	0
1	2	58	56	101	251	0
1	2	59	57	100	255	0
1	2	60	58	99	259	0
1	2	61	59	98	263	0
1	2	62	60	97	267	0
1	2	63	0       0        0	0
1	2	64	61	96	271	0
1	2	65	62	95	275	0
1	2	66	63	94	279	0
1	2	67	64	93	283	0
1	2	68	65	92	287	0
1	2	69	66	91	291	0
1	2	70	67	90	295	0
1	2	71	68	89	299	0
1	2	72	69	88	0	0
1	2	73	70	87	0	0
1	2	74	71	86	0	0
1	2	75	72	85	0	0
1	3	0	1	36	0	0
1	3	1	2	35	0	0
1	3	2	3	34	0	0
1	3	3	4	33	0	0
1	3	4	5	32	48	0
1	3	5	6	31	52	0
1	3	6	7	30	56	0
1	3	7	8	29	60	0
1	3	8	9	28	64	0
1	3	9	10	27	68	0
1	3	10	11	26	72	0
1	3	11	12	25	76	0
1	3	12	0        0      0	0
1	3	13	13	24	80	0
1	3	14	14	23	84	0
1	3	15	15	22	88	0
1	3	16	16	21	92	0
1	3	17	17	20	96	0
1	3	18	18	19	100	0
1	3	19	19	18	104	0
1	3	20	20	17	108	0
1	3	21	21	16	112	0
1	3	22	22	15	116	0
1	3	23	23	14	120	0
1	3	24	24	13	124	0
1	3	25	0       0        0	0
1	3	26	25	12	128	0
1	3	27	26	11	132	0
1	3	28	27	10	136	0
1	3	29	28	9	140	0
1	3	30	29	8	144	0
1	3	31	30	7	148	0
1	3	32	31	6	152	0
1	3	33	32	5	156	0
1	3	34	33	4	160	0
1	3	35	34	3	164	0
1	3	36	35	2	168	0
1	3	37	36	1	172	0
1	3	38	37	120	170	0
1	3	39	38	119	166	0
1	3	40	39	118	162	0
1	3	41	40	117	158	0
1	3	42	41	116	154	0
1	3	43	42	115	150	0
1	3	44	43	114	146	0
1	3	45	44	113	142	0
1	3	46	45	112	138	0
1	3	47	46	111	134	0
1	3	48	47	110	130	0
1	3	49	48	109	126	0
1	3	50	0        0       0	0
1	3	51	49	108	122	0
1	3	52	50	107	118	0
1	3	53	51	106	114	0
1	3	54	52	105	110	0
1	3	55	53	104	106	0
1	3	56	54	103	102	0
1	3	57	55	102	98	0
1	3	58	56	101	94	0
1	3	59	57	100	90	0
1	3	60	58	99	86	0
1	3	61	59	98	82	0
1	3	62	60	97	78	0
1	3	63	0       0       0	0
1	3	64	61	96	74	0
1	3	65	62	95	70	0
1	3	66	63	94	66	0
1	3	67	64	93	62	0
1	3	68	65	92	58	0
1	3	69	66	91	54	0
1	3	70	67	90	50	0
1	3	71	68	89	46	0
1	3	72	69	88	0	0
1	3	73	70	87	0	0
1	3	74	71	86	0	0
1	3	75	72	85	0	0
1	4	0	1	36	0	0
1	4	1	2	35	0	0
1	4	2	3	34	0	0
