module	row	crystal	theta	phi	tau	posX		posY	posZ	pDz	pTheta	pPhi	pDy1	pDx1	pDx2	pAlp1	pDy2	pDx3	pDx4	pAlp2
#	#	#	[deg]	[deg]	[deg]	[mm]		[mm]	[mm]	[mm]	[deg]	[deg]	[mm]	[mm]	[mm]	[mm]	[mm]	[mm]	[mm]	[mm]

5	14	4	0	0	0	-1486.35  	385.35	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	1	5	0	0	0	-55.05  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	2	5	0	0	0	-165.15  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	3	5	0	0	0	-275.25  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	4	5	0	0	0	-385.35  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	5	5	0	0	0	-495.45  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	6	5	0	0	0	-605.55  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	7	5	0	0	0	-715.65  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	8	5	0	0	0	-825.75  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	9	5	0	0	0	-935.85  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	10	5	0	0	0	-1045.95  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	11	5	0	0	0	-1156.05  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	12	5	0	0	0	-1266.15  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	13	5	0	0	0	-1376.25  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	14	5	0	0	0	-1486.35  	495.45	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	1	6	0	0	0	-55.05  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	2	6	0	0	0	-165.15  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	3	6	0	0	0	-275.25  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	4	6	0	0	0	-385.35  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	5	6	0	0	0	-495.45  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	6	6	0	0	0	-605.55  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	7	6	0	0	0	-715.65  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	8	6	0	0	0	-825.75  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	9	6	0	0	0	-935.85  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	10	6	0	0	0	-1045.95  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	11	6	0	0	0	-1156.05  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	12	6	0	0	0	-1266.15  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	13	6	0	0	0	-1376.25  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	14	6	0	0	0	-1486.35  	605.55	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	1	7	0	0	0	-55.05  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	2	7	0	0	0	-165.15  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	3	7	0	0	0	-275.25  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	4	7	0	0	0	-385.35  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	5	7	0	0	0	-495.45  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	6	7	0	0	0	-605.55  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	7	7	0	0	0	-715.65  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	8	7	0	0	0	-825.75  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	9	7	0	0	0	-935.85  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	10	7	0	0	0	-1045.95  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	11	7	0	0	0	-1156.05  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	12	7	0	0	0	-1266.15  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	13	7	0	0	0	-1376.25  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	14	7	0	0	0	-1486.35  	715.65	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
