PadPlaneSubDivision 84 84 1 1 -42 -42
4 0 0 0.31 0.05 0 5 11 10 
5 0 0 0.31 0.15 0 4 0 11 10 15 
0 0 0 0.31 0.25 0 5 1 10 15 14 
1 0 0 0.31 0.35 0 0 3 15 14 12 
3 0 0 0.31 0.45 0 1 2 14 12 13 
2 0 0 0.31 0.55 0 3 7 12 13 8 
7 0 0 0.31 0.65 0 2 6 13 8 9 
6 0 0 0.31 0.75 0 7 8 9 
11 0 0 0.93 0.05 0 4 5 10 28 29 
10 0 0 0.93 0.15 0 4 5 0 11 15 28 29 24 
15 0 0 0.93 0.25 0 5 0 1 10 14 29 24 25 
14 0 0 0.93 0.35 0 0 1 3 15 12 24 25 27 
12 0 0 0.93 0.45 0 1 3 2 14 13 25 27 26 
13 0 0 0.93 0.55 0 3 2 7 12 8 27 26 31 
8 0 0 0.93 0.65 0 2 7 6 13 9 26 31 30 
9 0 0 0.93 0.75 0 7 6 8 31 30 
28 0 0 1.55 0.05 0 11 10 29 19 18 
29 0 0 1.55 0.15 0 11 10 15 28 24 19 18 23 
24 0 0 1.55 0.25 0 10 15 14 29 25 18 23 22 
25 0 0 1.55 0.35 0 15 14 12 24 27 23 22 20 
27 0 0 1.55 0.45 0 14 12 13 25 26 22 20 21 
26 0 0 1.55 0.55 0 12 13 8 27 31 20 21 16 
31 0 0 1.55 0.65 0 13 8 9 26 30 21 16 17 
30 0 0 1.55 0.75 0 8 9 31 16 17 
19 0 0 2.17 0.05 0 28 29 18 36 37 
18 0 0 2.17 0.15 0 28 29 24 19 23 36 37 32 
23 0 0 2.17 0.25 0 29 24 25 18 22 37 32 33 
22 0 0 2.17 0.35 0 24 25 27 23 20 32 33 35 
20 0 0 2.17 0.45 0 25 27 26 22 21 33 35 34 
21 0 0 2.17 0.55 0 27 26 31 20 16 35 34 39 
16 0 0 2.17 0.65 0 26 31 30 21 17 34 39 38 
17 0 0 2.17 0.75 0 31 30 16 39 38 
36 0 0 2.79 0.05 0 19 18 37 43 42 
37 0 0 2.79 0.15 0 19 18 23 36 32 43 42 47 
32 0 0 2.79 0.25 0 18 23 22 37 33 42 47 46 
33 0 0 2.79 0.35 0 23 22 20 32 35 47 46 44 
35 0 0 2.79 0.45 0 22 20 21 33 34 46 44 45 
34 0 0 2.79 0.55 0 20 21 16 35 39 44 45 40 
39 0 0 2.79 0.65 0 21 16 17 34 38 45 40 41 
38 0 0 2.79 0.75 0 16 17 39 40 41 
43 0 0 3.41 0.05 0 36 37 42 60 61 
42 0 0 3.41 0.15 0 36 37 32 43 47 60 61 56 
47 0 0 3.41 0.25 0 37 32 33 42 46 61 56 57 
46 0 0 3.41 0.35 0 32 33 35 47 44 56 57 59 
44 0 0 3.41 0.45 0 33 35 34 46 45 57 59 58 
45 0 0 3.41 0.55 0 35 34 39 44 40 59 58 63 
40 0 0 3.41 0.65 0 34 39 38 45 41 58 63 62 
41 0 0 3.41 0.75 0 39 38 40 63 62 
60 0 0 4.03 0.05 0 43 42 61 51 50 
61 0 0 4.03 0.15 0 43 42 47 60 56 51 50 55 
56 0 0 4.03 0.25 0 42 47 46 61 57 50 55 54 
57 0 0 4.03 0.35 0 47 46 44 56 59 55 54 52 
