12.65	0	-17.95	-90	18.43	-90
6.32	10.95	-17.95	-30	18.43	-90
-6.32	10.95	-17.95	30	18.43	-90
-12.65	0	-17.95	90	18.43	-90
-6.32	-10.95	-17.95	150	18.43	-90
6.32	-10.95	-17.95	210	18.43	-90
24.26	0	-11.8	-90	37.34	-90
12.13	21.01	-11.8	-30	37.34	-90
-12.13	21.01	-11.8	30	37.34	-90
-24.26	0	-11.8	90	37.34	-90
-12.13	-21.01	-11.8	150	37.34	-90
12.13	-21.01	-11.8	210	37.34	-90
19.45	11.23	-13.1	-60	34.15	-30
0	22.46	-13.1	0	34.15	-30
-19.45	11.23	-13.1	60	34.15	-30
-19.45	-11.23	-13.1	120	34.15	-30
0	-22.46	-13.1	180	34.15	-30
19.45	-11.23	-13.1	240	34.15	-30
