-7.09	10.1534	-38.0347	34.92614471	18.03490514	145.0738553
-11.9355	0	-38.1778	90	17.36077514	-90
-7.09	-10.1534	-38.0347	145.0738553	18.03490514	34.92614471
-8.7893	20.1869	-33.3951	23.52812709	33.39679108	-23.52812709
-19.2822	11.145	-33.2263	59.9723363	33.83369552	120.0276637
-22.4254	0	-33.1225	90	34.09974092	-90
-19.2822	-11.145	-33.2263	120.0276637	33.83369552	59.9723363
-8.7893	-20.1869	-33.3951	156.4718729	33.39679108	-156.4718729
7.09	10.1534	-38.0347	-34.92614471	18.03490514	34.92614471
11.9355	0	-38.1778	-90	17.36077514	270
7.09	-10.1534	-38.0347	-145.0738553	18.03490514	145.0738553
8.7893	20.1869	-33.3951	-23.52812709	33.39679108	203.5281271
19.2822	11.145	-33.2263	-59.9723363	33.83369552	59.9723363
22.4254	0	-33.1225	-90	34.09974092	270
19.2822	-11.145	-33.2263	-120.0276637	33.83369552	120.0276637
8.7893	-20.1869	-33.3951	-156.4718729	33.39679108	336.4718729
