-12.75	26.62	-12	0	0	-30
0	29.47	-12.05	0	0	30
12.75	26.62	-12	0	0	-30
-25.51	14.74	-12.05	0	0	30
-12.75	11.88	-21	0	0	-30
0	14.74	-22.19	0	0	30
12.75	11.88	-21	0	0	-30
25.51	14.74	-12.05	0	0	30
-25.51	0	-15.81	0	0	30
-12.75	-2.86	-22.81	0	0	-30
12.75	-2.86	-22.81	0	0	-30
25.51	0	-15.81	0	0	30
-25.51	-14.74	-12.05	0	0	30
-12.75	-17.59	-18.59	0	0	-30
0	-14.74	-22.19	0	0	30
12.75	-17.59	-18.59	0	0	-30
25.51	-14.74	-12.05	0	0	30
-12.75	-32.33	-4.8	0	0	-30
0	-29.47	-12.05	0	0	30
12.75	-32.33	-4.8	0	0	-30

