-7.0905	10.1728	-38.0295	34.88	18.06	145.12
-11.9355	0	-38.1778	90	17.38	-90
-7.0905	-10.1728	-38.0295	145.06	18.06	34.94
-8.7895	20.1328	-33.4277	23.61	33.3	-23.61
-19.2833	11.1451	-33.2256	59.94	33.84	120.06
-22.4254	0	-33.225	90	34.12	-90
-19.2833	-11.1451	-33.2256	120.03	33.84	59.97
-8.7895	-20.1328	-33.4277	156.47	34.12	-156.47
7.0905	10.1728	-38.0295	-34.88	18.06	34.88
11.9355	0	-38.1778	-90	17.38	270
7.0905	-10.1728	-38.0295	-145.06	18.06	145.06
8.7895	20.1328	-33.4277	-23.61	33.3	203.61
19.2833	11.1451	-33.2256	-59.94	33.84	59.94
22.4254	0	-33.225	-90	34.12	270
19.2833	-11.1451	-33.2256	-120.03	33.84	120.03
8.7895	-20.1328	-33.4277	-156.47	34.12	336.47



