-3012.33	356933033875.59
-3007.67	356933033875.60
-3003.00	356933033875.60
-2998.33	356933033875.60
-2993.67	356933033875.60
-2989.00	356933033875.59
-2984.33	356933033875.60
-2979.67	356933033875.59
-2975.00	356933033875.60
-2970.33	356933033875.60
-2965.67	356933033875.60
-2961.00	356933033875.60
-2956.33	356933033875.60
-2951.67	356933033875.60
-2947.00	356933033875.60
-2942.23	356933033875.59
-2937.46	356933033875.59
-2932.69	356933033875.59
-2927.91	356933033875.60
-2923.14	356933033875.59
-2918.37	356933033875.59
-2913.60	356933033875.59
-2908.83	356933033875.60
-2904.06	356933033875.60
-2899.29	356933033875.60
-2894.51	356933033875.60
-2889.74	356933033875.60
-2884.97	356933033875.60
-2880.20	356933033875.60
-2875.43	356933033875.60
-2870.66	356933033875.60
-2865.89	356933033875.60
-2861.11	356933033875.60
-2856.34	356933033875.60
-2851.57	356933033875.60
-2846.80	356933033875.60
-2842.03	356933033875.60
-2837.26	356933033875.60
-2832.49	356933033875.60
-2827.71	356933033875.60
-2822.94	356933033875.60
-2818.17	356933033875.60
-2813.40	356933033875.60
-2808.63	356933033875.60
-2803.86	356933033875.60
-2799.09	356933033875.60
-2794.31	356933033875.60
-2789.54	356933033875.60
-2784.77	356933033875.59
-2780.00	356933033875.60
-2724.33	392797693545.23
-2668.67	428662353214.86
-2613.00	464527012884.50
-2560.83	481235036064.44
-2508.66	497942813720.14
-2456.48	514651229738.88
-2404.31	531359154709.13
-2352.14	548067079679.37
-2299.97	564775004649.62
-2247.79	581482929619.86
-2195.62	598191345638.60
-2143.45	614899270608.85
-2091.28	631607195579.09
-2039.10	648315120549.34
-1986.93	665023045519.58
-1934.76	681731461538.32
-1882.59	698439386508.57
-1830.41	715147311478.81
-1778.24	731855236449.06
-1726.07	748563161419.30
-1673.90	765271086389.55
-1621.72	781979502408.29
-1569.55	798687427378.53
-1517.38	815395352348.78
-1465.21	832103277319.02
-1413.03	848811202289.27
-1360.86	865519618308.01
-1308.69	882227543278.25
-1256.52	898935468248.50
-1204.35	915643393218.74
-1152.17	932351318188.99
-1100.00	949059243159.23
-1050.00	968631945036.94
-1000.00	988205137963.14
-950.00	1007777839840.85
-900.00	1027350541718.56
-850.00	1046923243596.27
-800.00	1066495945473.98
-750.00	1086068647351.68
-700.00	1105641349229.39
-650.00	1125214051107.10
-600.00	1144786752984.81
-550.00	1164359454862.52
-500.00	1183932156740.22
-448.33	1209126872812.92
-396.67	1234322079934.10
-345.00	1259516796006.79
-293.33	1284712003127.98
-241.67	1309906719200.67
-190.00	1335101435273.36
-186.22	1443044206026.76
-182.44	1550986485731.67
-178.67	1658929256485.06
-174.89	1766871536189.97
-171.11	1874814306943.36
-167.33	1982756586648.27
-163.56	2090698866353.17
-159.78	2198641637106.57
-156.00	2306583916811.47
-152.22	2414526687564.87
-148.44	2522468967269.78
-144.67	2630411246974.68
-140.89	2738354017728.08
-137.11	2846296297432.98
-133.33	2954239068186.38
-129.56	3062181347891.28
-125.78	3170123627596.19
-122.00	3278066398349.59
-118.22	3386008678054.49
-114.44	3493951448807.89
