#This file was created using macro createLaserFile.C

#the next line specifies that we are using directions for the beams

!direction

-35.9401  -20.75  -30  0.495922   0.0637279  -0.866025  45  0.02  0
-20.75  -35.9401  -30  0.562316   0.42872  -0.707107  45  0.02  0
-3.61696  -41.3421  -30  0.402263   0.766932  -0.5  45  0.02  0
3.61696  -41.3421  -30  0.262975   0.825133  0.5  45  0.02  0
20.75  -35.9401  -30  -0.0901249   0.70134  0.707107  45  0.02  0
35.9401  -20.75  -30  -0.303151   0.397617  0.866025  45  0.02  0
35.9401  20.75  -30  -0.525073   -0.688693  -0.5  45  0.02  0
20.75  35.9401  -30  -0.0637279   -0.495922  -0.866025  45  0.02  0
3.61696  41.3421  -30  0.214718   -0.673718  -0.707107  45  0.02  0
-3.61696  41.3421  -30  0.328446   -0.626197  0.707107  45  0.02  0
-20.75  35.9401  -30  0.397617   -0.303151  0.866025  45  0.02  0
-35.9401  20.75  -30  0.858962   -0.11038  0.5  45  0.02  0
-35.9401  -20.75  -20  0.495922   0.0637279  -0.866025  45  0.02  0
-20.75  -35.9401  -20  0.562316   0.42872  -0.707107  45  0.02  0
-3.61696  -41.3421  -20  0.402263   0.766932  -0.5  45  0.02  0
3.61696  -41.3421  -20  0.262975   0.825133  0.5  45  0.02  0
20.75  -35.9401  -20  -0.0901249   0.70134  0.707107  45  0.02  0
35.9401  -20.75  -20  -0.303151   0.397617  0.866025  45  0.02  0
35.9401  20.75  -20  -0.525073   -0.688693  -0.5  45  0.02  0
20.75  35.9401  -20  -0.0637279   -0.495922  -0.866025  45  0.02  0
3.61696  41.3421  -20  0.214718   -0.673718  -0.707107  45  0.02  0
-3.61696  41.3421  -20  0.328446   -0.626197  0.707107  45  0.02  0
-20.75  35.9401  -20  0.397617   -0.303151  0.866025  45  0.02  0
-35.9401  20.75  -20  0.858962   -0.11038  0.5  45  0.02  0
-35.9401  -20.75  -10  0.495922   0.0637279  -0.866025  45  0.02  0
-20.75  -35.9401  -10  0.562316   0.42872  -0.707107  45  0.02  0
-3.61696  -41.3421  -10  0.402263   0.766932  -0.5  45  0.02  0
3.61696  -41.3421  -10  0.262975   0.825133  0.5  45  0.02  0
20.75  -35.9401  -10  -0.0901249   0.70134  0.707107  45  0.02  0
35.9401  -20.75  -10  -0.303151   0.397617  0.866025  45  0.02  0
35.9401  20.75  -10  -0.525073   -0.688693  -0.5  45  0.02  0
20.75  35.9401  -10  -0.0637279   -0.495922  -0.866025  45  0.02  0
3.61696  41.3421  -10  0.214718   -0.673718  -0.707107  45  0.02  0
-3.61696  41.3421  -10  0.328446   -0.626197  0.707107  45  0.02  0
-20.75  35.9401  -10  0.397617   -0.303151  0.866025  45  0.02  0
-35.9401  20.75  -10  0.858962   -0.11038  0.5  45  0.02  0
-35.9401  -20.75  0  0.495922   0.0637279  -0.866025  45  0.02  0
-20.75  -35.9401  0  0.562316   0.42872  -0.707107  45  0.02  0
-3.61696  -41.3421  0  0.402263   0.766932  -0.5  45  0.02  0
3.61696  -41.3421  0  0.262975   0.825133  0.5  45  0.02  0
20.75  -35.9401  0  -0.0901249   0.70134  0.707107  45  0.02  0
35.9401  -20.75  0  -0.303151   0.397617  0.866025  45  0.02  0
35.9401  20.75  0  -0.525073   -0.688693  -0.5  45  0.02  0
20.75  35.9401  0  -0.0637279   -0.495922  -0.866025  45  0.02  0
3.61696  41.3421  0  0.214718   -0.673718  -0.707107  45  0.02  0
-3.61696  41.3421  0  0.328446   -0.626197  0.707107  45  0.02  0
-20.75  35.9401  0  0.397617   -0.303151  0.866025  45  0.02  0
-35.9401  20.75  0  0.858962   -0.11038  0.5  45  0.02  0
-35.9401  -20.75  10  0.495922   0.0637279  -0.866025  45  0.02  0
-20.75  -35.9401  10  0.562316   0.42872  -0.707107  45  0.02  0
-3.61696  -41.3421  10  0.402263   0.766932  -0.5  45  0.02  0
3.61696  -41.3421  10  0.262975   0.825133  0.5  45  0.02  0
20.75  -35.9401  10  -0.0901249   0.70134  0.707107  45  0.02  0
35.9401  -20.75  10  -0.303151   0.397617  0.866025  45  0.02  0
35.9401  20.75  10  -0.525073   -0.688693  -0.5  45  0.02  0
20.75  35.9401  10  -0.0637279   -0.495922  -0.866025  45  0.02  0
3.61696  41.3421  10  0.214718   -0.673718  -0.707107  45  0.02  0
-3.61696  41.3421  10  0.328446   -0.626197  0.707107  45  0.02  0
-20.75  35.9401  10  0.397617   -0.303151  0.866025  45  0.02  0
-35.9401  20.75  10  0.858962   -0.11038  0.5  45  0.02  0
-35.9401  -20.75  20  0.495922   0.0637279  -0.866025  45  0.02  0
-20.75  -35.9401  20  0.562316   0.42872  -0.707107  45  0.02  0
-3.61696  -41.3421  20  0.402263   0.766932  -0.5  45  0.02  0
3.61696  -41.3421  20  0.262975   0.825133  0.5  45  0.02  0
20.75  -35.9401  20  -0.0901249   0.70134  0.707107  45  0.02  0
35.9401  -20.75  20  -0.303151   0.397617  0.866025  45  0.02  0
